strain	evol	od_0nM_r1	od_0nM_r2	od_0nM_r3	od_5nM_r1	od_5nM_r2	od_5nM_r3	date_r1	date_r2	date_r3	frac_r1	frac_r2	frac_r3	od_0nM_avg	od_5nM_avg	frac_grow_rapa	sterr_rapa
4667	evolved	13.31	11.98	11.76	3.09	1.75	2.13	221116	221117	221122	0.232156273	0.146076795	0.181122449	12.35	2.323333333	0.186451839	0.043286499
4668	evolved	12.13	11.6	11.22	4.36	2.12	1.67	230215	230216	230217	0.359439406	0.182758621	0.148841355	11.65	2.716666667	0.230346461	0.113076685
4669	evolved	10.69	9.67	9.63	10.51	8.46	9.14	221116	221117	221122	0.983161833	0.874870734	0.949117342	9.996666667	9.37	0.935716636	0.055375308
4670	evolved	11.72	9.86	10.64	2.38	0.88	0.58	230215	230216	230217	0.203071672	0.089249493	0.054511278	10.74	1.28	0.115610814	0.077709312
4671	evolved	11.88	10.25	10.5	2.89	1.29	1.89	221116	221117	221122	0.243265993	0.125853659	0.18	10.87666667	2.023333333	0.183039884	0.058765166
4672	evolved	11.88	10.3	11.2	3.19	1.09	0.89	230215	230216	230217	0.268518519	0.105825243	0.079464286	11.12666667	1.723333333	0.151269349	0.102392631
4673	evolved	7.27	6.91	6.97	0.84	0.74	0.36	230216	230217	230221	0.115543329	0.107091172	0.051649928	7.05	0.646666667	0.091428143	0.034707197
4674	evolved	11.41	10.21	10.99	2.88	1.29	1.14	230215	230216	230217	0.252410167	0.126346719	0.103730664	10.87	1.77	0.160829183	0.080113537
4675	evolved	5.39	5.14	4.1	2.17	0.93	1.33	221116	221117	221122	0.402597403	0.180933852	0.324390244	4.876666667	1.476666667	0.3026405	0.112420954
4676	evolved	6.11	3.13	6.21	1.84	0.36	1.6	230301	230222	230228	0.301145663	0.115015974	0.257648953	5.15	1.266666667	0.22460353	0.097365626
4677	evolved	4.48	4.73	3.09	4.18	4.81	2.09	221116	221122	230216	0.933035714	1.016913319	0.676375405	4.1	3.693333333	0.875441479	0.17742418
4684	evolved	9.79	10.5	12.7	1.14	1.05	1.07	230216	230217	230221	0.116445352	0.1	0.084251969	10.99666667	1.086666667	0.10023244	0.016097951
4685	evolved	3.3	3.08	6.7	3.3	3.36	6.75	230216	230217	230228	1	1.090909091	1.007462687	4.36	4.47	1.032790592	0.050470217
4686	evolved	6.82	6.16	6.23	0.07	0.22	0.16	230216	230217	230221	0.01026393	0.035714286	0.025682183	6.403333333	0.15	0.023886799	0.012819817
4612	ancestor	10.02	11.58	10.61	3.57	3.23	2.8	220728	221116	230210	0.356287425	0.278929188	0.263901979	10.73666667	3.2	0.299706198	0.049573488
4613	ancestor	10.83	10.06	10.84	2.24	1.22	1.08	220728	221130	230216	0.206832872	0.121272366	0.099630996	10.57666667	1.513333333	0.142578745	0.056688022
4614	ancestor	10.027	11.75	10.33	0.81	2.95	1.62	220712	221116	221117	0.080781889	0.25106383	0.156824782	10.70233333	1.793333333	0.162890167	0.085302852
4615	ancestor	11.59	13.54	13.39	2.08	4.69	4.59	220712	221116	230215	0.179465056	0.346381093	0.342793129	12.84	3.786666667	0.289546426	0.095350141
4617	ancestor	11.87	11.18	13.4	2.06	1.48	3.8	220712	221130	230208	0.173546757	0.132379249	0.28358209	12.15	2.446666667	0.196502698	0.078171646
4618	ancestor	12.76	13.4	12.3	0.99	3.12	1.58	220712	230208	230217	0.077586207	0.232835821	0.128455285	12.82	1.896666667	0.146292437	0.079146912
4821	evolved	10.77	13.78	11.3	6.14	6.67	5.79	230516	230516	230516	0.570102136	0.484034833	0.512389381	11.95	6.2	0.52217545	0.043860238
4822	evolved	9.88	12.75	10.38	8.48	8.73	10.5	230516	230516	230516	0.858299595	0.684705882	1.011560694	11.00333333	9.236666667	0.851522057	0.163532774
4823	evolved	13.83	14.49	12.15	9.47	9.39	9.41	230516	230516	230516	0.684743312	0.648033126	0.774485597	13.49	9.423333333	0.702420678	0.065053238
4824	evolved	11.79	11.25	11.98	8.03	9.16	7.11	230516	230516	230516	0.681085666	0.814222222	0.593489149	11.67333333	8.1	0.696265679	0.111146737
4825	evolved	6.03	6.89	5.75	5.05	5.31	4.65	230516	230516	230516	0.83747927	0.770682148	0.808695652	6.223333333	5.003333333	0.805619024	0.033504673
4826	evolved	16.59	15.34	15.2	8.02	7.5	9.7	230516	230516	230516	0.483423749	0.488917862	0.638157895	15.71	8.406666667	0.536833169	0.087792775
